harga,kabupaten,luas_bangunan,luas_tanah,lantai,kamar_tidur,kamar_mandi,jarak_ke_kota,,kode harga,harga (jt),kode kota,kota
2,3,36,86,1,2,1,13,,1,1-100,1,Yogyakarta
2,4,29,101,1,1,1,27,,2,101-200,2,Sleman
2,4,30,97,1,1,1,28,,3,201-300,3,Bantul
2,4,36,79,1,2,1,27,,4,301-400,4,Kulon Progo
2,5,32,66,1,2,1,36,,5,401-500,5,Gunung Kidul
2,5,30,60,1,2,1,37,,6,501-600,,
3,3,36,68,1,2,1,12,,7,601-700,,
3,3,40,81,1,2,1,8,,8,701-800,,
3,4,36,74,1,2,1,27,,9,801-900,,
3,5,42,121,1,2,1,37,,10,901-1000,,
3,5,41,80,1,2,1,37,,11,1001-1100,,
3,5,100,1375,1,2,1,17,,12,1101-1200,,
3,3,36,72,1,2,1,14,,13,1201-1300,,
3,3,120,150,1,3,1,12,,14,1301-1400,,
3,3,36,103,1,2,1,11,,15,1401-1500,,
4,3,45,95,1,3,1,17,,,,,
4,3,36,102,1,2,1,12,,,,,
4,3,36,72,1,2,1,17,,,,,
4,4,40,90,1,2,1,36,,,,,
4,4,36,117,1,2,1,41,,,,,
4,4,150,173,1,3,1,41,,,,,
4,5,125,137,1,5,2,38,,,,,
4,5,45,102,1,2,1,39,,,,,
4,2,45,108,1,2,1,6,,,,,
4,3,45,106,1,2,1,12,,,,,
4,2,45,108,1,2,1,11,,,,,
4,3,60,67,1,2,1,7,,,,,
4,2,36,100,1,2,1,18,,,,,
5,3,45,75,1,3,1,17,,,,,
5,2,55,63,1,2,1,24,,,,,
5,4,60,90,1,3,1,36,,,,,
5,3,50,100,1,2,1,12,,,,,
5,2,57,90,1,2,1,12,,,,,
5,2,55,96,1,2,1,8,,,,,
5,3,80,80,1,2,1,10,,,,,
6,3,50,93,1,2,1,5,,,,,
6,3,60,91,1,2,2,10,,,,,
6,2,90,42,1,2,1,12,,,,,
6,2,55,139,1,2,1,4,,,,,
6,4,60,137,1,3,2,27,,,,,
6,1,45,100,1,3,1,4,,,,,
6,2,45,128,1,2,1,14,,,,,
6,2,60,108,1,2,2,16,,,,,
7,2,60,91,1,3,2,13,,,,,
7,1,55,70,1,2,1,4,,,,,
7,2,50,150,1,2,1,13,,,,,
7,2,50,150,1,2,1,13,,,,,
7,4,110,171,1,2,3,27,,,,,
7,4,118,430,1,3,1,27,,,,,
7,5,62,91,1,3,2,37,,,,,
7,1,70,122,1,3,3,5,,,,,
7,3,62,91,2,3,1,5,,,,,
7,2,60,99,1,3,2,14,,,,,
7,2,63,111,1,3,1,8,,,,,
7,3,105,157,2,7,2,15,,,,,
7,2,110,170,1,3,2,9,,,,,
7,2,67,105,1,3,1,15,,,,,
7,2,50,238,1,2,1,15,,,,,
8,1,52,72,1,2,1,5,,,,,
8,2,80,120,1,3,2,13,,,,,
8,2,85,116,1,3,2,13,,,,,
8,3,75,90,2,2,1,6,,,,,
8,1,80,92,1,3,1,3,,,,,
8,2,50,168,1,3,1,11,,,,,
8,2,55,120,1,3,1,11,,,,,
8,2,58,101,1,3,2,11,,,,,
8,3,80,100,1,2,2,6,,,,,
8,3,80,89,2,3,2,9,,,,,
8,2,76,126,1,2,1,15,,,,,
9,1,118,130,2,4,4,4,,,,,
9,3,135,266,1,4,2,10,,,,,
9,2,60,91,1,3,2,6,,,,,
9,2,130,163,1,3,2,13,,,,,
9,4,200,263,1,4,2,41,,,,,
9,2,82,340,1,3,2,11,,,,,
9,2,100,160,1,3,2,10,,,,,
10,3,100,122,1,3,2,4,,,,,
10,2,120,158,1,3,2,8,,,,,
10,4,140,340,2,3,2,42,,,,,
10,1,72,81,2,3,2,5,,,,,
10,1,100,104,1,2,1,4,,,,,
10,2,70,147,2,3,1,11,,,,,
11,4,200,255,1,3,3,34,,,,,
11,2,160,164,1,3,2,8,,,,,
12,2,112,115,2,4,3,9,,,,,
12,2,131,140,2,3,2,7,,,,,
12,2,95,120,2,3,2,10,,,,,
13,2,103,250,2,4,3,7,,,,,
13,2,100,125,2,3,2,8,,,,,
13,2,113,126,1,3,2,11,,,,,
13,4,100,125,1,3,2,40,,,,,
13,1,130,75,2,5,3,3,,,,,
13,3,125,149,2,3,3,5,,,,,
14,2,80,142,1,2,1,8,,,,,
14,2,108,150,2,3,2,4,,,,,
14,4,71,178,1,2,1,10,,,,,
15,2,260,310,1,3,2,11,,,,,
15,2,205,235,2,5,4,10,,,,,
15,1,150,157,1,4,2,5,,,,,
15,1,105,135,2,3,3,3,,,,,
